Element,YearDiscovered
Hydrogen,1766
Helium,1868
Lithium,1817
Beryllium,1798
Boron,1807
Carbon,
Nitrogen,1772
Oxygen,1774
Fluorine,1670
Neon,1898
Sodium,1807
Magnesium,1808
Aluminum,
Silicon,1854
Phosphorus,1669
Sulfur,
Chlorine,1774
Argon,1894
Potassium,1807
Calcium,
Scandium,1876
Titanium,1791
Vanadium,1803
Chromium,
Manganese,1774
Iron,
Cobalt,
Nickel,1751
Copper,
Zinc,1746
Gallium,1875
Germanium,1886
Arsenic,
Selenium,1817
Bromine,1826
Krypton,1898
Rubidium,1861
Strontium,1790
Yttrium,1794
Zirconium,1789
Niobium,1801
Molybdenum,1778
Technetium,1937
Ruthenium,1827
Rhodium,1803
Palladium,1803
Silver,
Cadmium,1817
Indium,1863
Tin,
Antimony,
Tellurium,1782
Iodine,1811
Xenon,1898
Cesium,1860
Barium,1808
Lanthanum,1839
Cerium,1803
Praseodymium,1885
Neodymium,1885
Promethium,1947
Samarium,1853
Europium,1901
Gadolinium,1880
Terbium,1843
Dysprosium,1886
Holmium,1878
Erbium,1842
Thulium,1879
Ytterbium,1878
Lutetium,1907
Hafnium,1923
Tantalum,1802
Tungsten,1783
Rhenium,1925
Osmium,1803
Iridium,1803
Platinum,
Gold,
Mercury,
Thallium,1861
Lead,
Bismuth,
Polonium,1898
Astatine,1940
Radon,1900
Francium,1939
Radium,1898
Actinium,1899
Thorium,1828
Protactinium,1913
Uranium,1789
Neptunium,1940
Plutonium,1940
Americium,1944
Curium,1944
Berkelium,1949
Californium,1950
Einsteinium,1952
Fermium,1952
Mendelevium,1955
Nobelium,1957
Lawrencium,1961
Rutherfordium,1969
Dubnium,1967
Seaborgium,1974
Bohrium,1976
Hassium,1984
Meitnerium,1982
Darmstadtium,1994
Roentgenium,1994
Copernicium,1996
Nihonium,2003
Flerovium,1998
Moscovium,2003
Livermorium,2000
Tennessine,2010
Oganesson,2002
